Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Worked Hours Week1,Worked Hours Week2,Worked Hours Week3,Worked Hours Week4,Total Work Hours,Gross Earnings,SSS Deduction,PhilHealth Deduction,Witholding Tax,Pag-Ibig Deduction,Total Deductions,Net Earnings
21Lazaro,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,45-5617168-2,606387000000,354-650-951-000,104908000000,Probationary,Account Rank and File,Mata Christian,23250,1500,500,500,11625,138.39,40,40,40,40,160,22142,500,100,1500,150,2250,19892
22Delos Santos,Delos Santos,Kolby ,2/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,357451000000,187-500-345-000,113018000000,Probationary,Account Rank and File,Mata Christian,24000,1500,500,500,12000,142.86,40,40,40,40,160,22858,500,100,1500,150,2250,20608
23Santos,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,548670000000,101-558-994-000,360028000000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
24Del Rosario,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,953902000000,560-735-732-000,913109000000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
25Tolentino,Tolentino,Jacklyn ,5/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,753801000000,841-177-857-000,210547000000,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500,12000,142.86,40,40,40,40,160,22858,500,100,1500,150,2250,20608
26Gutierrez,Gutierrez,Percival ,12/18/1970,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur,512-899-876,40-9504657-8,797639000000,502-995-671-000,210897000000,Probationary,Account Rank and File,De Leon Selena,24750,1500,500,500,12375,147.32,40,40,40,40,160,23571,500,100,1500,150,2250,21321
27Manalaysay,Manalaysay,Garfield ,8/28/1986,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,45-3298166-4,810909000000,336-676-445-000,211274000000,Probationary,Account Rank and File,De Leon Selena,24750,1500,500,500,12375,147.32,40,40,40,40,160,23571,500,100,1500,150,2250,21321
28Villegas,Villegas,Lizeth ,12/12/1981,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,40-2400719-4,934390000000,210-395-397-000,122238000000,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500,12000,142.86,40,40,40,40,160,22858,500,100,1500,150,2250,20608
29Ramos,Ramos,Carol ,8/20/1978,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,60-1152206-4,351830000000,395-032-717-000,212142000000,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
30Maceda,Maceda,Emelia ,4/14/1973,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,54-1331005-0,465088000000,215-973-013-000,515013000000,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
31Aguilar,Aguilar,Delia ,1/27/1989,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,52-1859253-1,136451000000,599-312-588-000,110019000000,Probationary,Account Rank and File,De Leon Selena,22500,1500,500,500,11250,133.93,40,40,40,40,160,21429,500,100,1500,150,2250,19179
32Castro,Castro,John Rafael,2/9/1992,Hi-way Yati Liloan Cebu,332-424-955 ,26-7145133-4,601645000000,404-768-309-000,697764000000,Regular,Sales & Marketing,Reyes Isabella,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
33Martinez,Martinez,Carlos Ian,11/16/1990,Bulala Camalaniugan,078-854-208,11-5062972-7,380685000000,256-436-296-000,993373000000,Regular,Supply Chain and Logistics,Reyes Isabella,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
34Santos,Santos,Beatriz,8/7/1990,Agapita Building Metro Manila,526-639-511,20-2987501-5,918460000000,911-529-713-000,874042000000,Regular,Customer Service and Relations,Reyes Isabella,52670,1500,1000,1000,26335,313.51,40,40,40,40,160,50162,500,100,1500,150,2250,47912
